=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.01 12:55:02 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
220.0,-332.0,736.0
220.0,-299.0,654.0
275.0,-255.0,568.0
410.0,-142.0,483.0
356.0,-96.0,425.0

-,-,-
376.0,-61.0,667.0
338.0,-55.0,553.0
313.0,-122.0,539.0
320.0,-52.0,463.0
287.0,-92.0,425.0
270.0,-323.0,640.0
273.0,-267.0,630.0
289.0,-490.0,839.0
87.0,-417.0,977.0
-177.0,-637.0,1213.0
-277.0,-727.0,1341.0
-236.0,-545.0,1296.0
-12.0,-756.0,1621.0
82.0,-848.0,1782.0
152.0,-830.0,1629.0
62.0,-692.0,1258.0
137.0,-497.0,1106.0
220.0,-437.0,1102.0
100.0,-442.0,1039.0
152.0,-395.0,973.0
168.0,-310.0,984.0
-15.0,-270.0,923.0
-17.0,-274.0,759.0
-60.0,-142.0,638.0

-,-,-
338.0,-114.0,573.0
288.0,-175.0,464.0
281.0,-219.0,582.0
329.0,-61.0,372.0
299.0,-230.0,678.0
240.0,-329.0,828.0
48.0,-365.0,1038.0
40.0,-478.0,1266.0
-138.0,-584.0,1335.0
-258.0,-727.0,1404.0
-113.0,-779.0,1646.0
-101.0,-742.0,1589.0
-9.0,-708.0,1539.0
-22.0,-644.0,1316.0
107.0,-607.0,1252.0
240.0,-533.0,1213.0
223.0,-420.0,1032.0
280.0,-319.0,1139.0
266.0,-383.0,1051.0
110.0,-288.0,915.0
-133.0,-136.0,715.0
-139.0,-31.0,673.0
-133.0,-48.0,612.0
-325.0,252.0,188.0
-360.0,169.0,236.0

-,-,-
389.0,-75.0,550.0
419.0,-102.0,639.0
323.0,-238.0,641.0
392.0,-169.0,600.0
445.0,-17.0,441.0
327.0,-141.0,580.0
296.0,-243.0,629.0
291.0,-415.0,918.0
200.0,-388.0,859.0
100.0,-660.0,1132.0
20.0,-710.0,1200.0
70.0,-895.0,1474.0
142.0,-878.0,1475.0
207.0,-821.0,1424.0
297.0,-883.0,1479.0
332.0,-835.0,1352.0
314.0,-728.0,1184.0
413.0,-565.0,1025.0
310.0,-483.0,944.0
216.0,-492.0,971.0
214.0,-439.0,948.0
161.0,-401.0,957.0
160.0,-332.0,864.0
79.0,-179.0,620.0
-71.0,-191.0,708.0

-,-,-
383.0,3.0,624.0
444.0,-12.0,649.0
363.0,-79.0,633.0
370.0,-172.0,528.0
350.0,-62.0,532.0
472.0,-99.0,593.0
399.0,-142.0,712.0
384.0,-204.0,773.0
180.0,-265.0,866.0
61.0,-345.0,826.0
-95.0,-527.0,1104.0
-60.0,-636.0,1285.0
-6.0,-705.0,1453.0
109.0,-747.0,1562.0
216.0,-751.0,1601.0
242.0,-753.0,1493.0
262.0,-670.0,1283.0
273.0,-547.0,1146.0
319.0,-482.0,1081.0
316.0,-401.0,1020.0
229.0,-377.0,993.0
238.0,-302.0,1000.0
208.0,-199.0,915.0
82.0,-258.0,861.0
83.0,-161.0,504.0

-,-,-
-241.0,-71.0,483.0

-,-,-
215.0,15.0,650.0
146.0,14.0,670.0
169.0,-88.0,817.0
139.0,-207.0,709.0
85.0,-86.0,549.0
202.0,-240.0,761.0
204.0,-411.0,1007.0
18.0,-340.0,882.0
87.0,-405.0,1025.0
-73.0,-559.0,1305.0
-67.0,-562.0,1341.0
45.0,-633.0,1398.0
145.0,-664.0,1504.0
183.0,-693.0,1494.0
109.0,-694.0,1357.0
112.0,-629.0,1217.0
160.0,-612.0,1191.0
160.0,-530.0,1109.0
175.0,-407.0,1052.0
33.0,-414.0,1080.0
13.0,-284.0,825.0
40.0,-320.0,1058.0
28.0,-238.0,788.0
8.0,-143.0,673.0

-,-,-
357.0,19.0,470.0
440.0,-11.0,666.0
327.0,3.0,473.0
393.0,-48.0,478.0
423.0,-100.0,525.0
511.0,-142.0,597.0
403.0,-150.0,578.0
413.0,-200.0,624.0
296.0,-227.0,783.0
106.0,-367.0,868.0
-135.0,-475.0,1126.0
-130.0,-455.0,1099.0
-236.0,-430.0,1183.0
-83.0,-492.0,1403.0
-116.0,-638.0,1473.0
