=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.01 12:55:02 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
127.0,-272.0,1046.0
85.0,-558.0,1171.0
190.0,-516.0,1076.0
551.0,-620.0,1560.0
457.0,-818.0,1797.0
469.0,-694.0,1755.0
297.0,-760.0,1776.0
134.0,-709.0,1470.0
159.0,-484.0,1211.0
200.0,-372.0,1033.0
204.0,-212.0,847.0
195.0,-117.0,800.0
283.0,-175.0,835.0
243.0,-48.0,742.0
258.0,-56.0,644.0

-,-,-
-286.0,217.0,448.0
-324.0,319.0,360.0
-317.0,309.0,398.0
-323.0,142.0,383.0
-408.0,178.0,412.0
-210.0,189.0,480.0
-212.0,-12.0,797.0
-109.0,55.0,608.0
70.0,-222.0,1038.0
104.0,-372.0,1073.0
153.0,-477.0,1220.0
195.0,-728.0,1702.0
328.0,-697.0,1745.0
335.0,-689.0,1810.0
267.0,-630.0,1648.0
-6.0,-522.0,1417.0
-49.0,-398.0,1234.0
51.0,-284.0,1144.0
131.0,-171.0,1004.0
136.0,-103.0,987.0
195.0,-74.0,872.0
166.0,-91.0,737.0
226.0,-58.0,632.0
265.0,-86.0,552.0

-,-,-
-483.0,168.0,470.0
-416.0,197.0,391.0
-363.0,159.0,419.0
-395.0,106.0,314.0
-358.0,202.0,295.0
-114.0,-26.0,603.0
-244.0,194.0,628.0
48.0,75.0,611.0
-147.0,-240.0,1163.0
-3.0,-414.0,1089.0
41.0,-742.0,1854.0
87.0,-568.0,1553.0
365.0,-730.0,1999.0
190.0,-529.0,1719.0
121.0,-398.0,1401.0
-189.0,-390.0,1335.0
-138.0,-292.0,1041.0
83.0,-170.0,977.0
293.0,-187.0,1098.0
391.0,-111.0,906.0
331.0,-52.0,832.0
307.0,-28.0,800.0
245.0,-22.0,662.0
213.0,-156.0,628.0

-,-,-
-242.0,194.0,555.0
-287.0,270.0,355.0
-269.0,269.0,418.0
-227.0,219.0,500.0
-229.0,180.0,444.0
-238.0,243.0,470.0
-116.0,270.0,549.0
-15.0,4.0,838.0
-154.0,215.0,638.0
153.0,-258.0,1251.0
-162.0,-217.0,1068.0
77.0,-207.0,1014.0
161.0,-535.0,1449.0
117.0,-521.0,1618.0
108.0,-474.0,1453.0
229.0,-622.0,1677.0
134.0,-648.0,1625.0
-42.0,-525.0,1416.0
-4.0,-434.0,1255.0
112.0,-323.0,1278.0
255.0,-176.0,1094.0
238.0,-113.0,1012.0
211.0,-88.0,936.0
273.0,-103.0,906.0
171.0,-111.0,868.0
175.0,-118.0,792.0
279.0,-130.0,766.0
213.0,-130.0,520.0

-,-,-
217.0,160.0,653.0
365.0,174.0,780.0
307.0,23.0,676.0
207.0,49.0,575.0
277.0,-40.0,547.0
174.0,4.0,557.0
245.0,48.0,593.0
189.0,-172.0,892.0
-54.0,-231.0,917.0
-10.0,-596.0,1291.0
23.0,-412.0,1226.0
-82.0,-476.0,1273.0
159.0,-592.0,1477.0
250.0,-555.0,1603.0
322.0,-623.0,1587.0
410.0,-623.0,1527.0
408.0,-565.0,1313.0
342.0,-535.0,1301.0
322.0,-425.0,1120.0
184.0,-346.0,1011.0
236.0,-283.0,1057.0
189.0,-183.0,936.0
10.0,-164.0,889.0
108.0,-67.0,762.0
-27.0,-195.0,739.0
6.0,-60.0,731.0

-,-,-
326.0,51.0,481.0
304.0,42.0,463.0
288.0,24.0,552.0
265.0,-131.0,483.0
331.0,3.0,505.0
367.0,-53.0,584.0
169.0,-47.0,728.0
299.0,-166.0,878.0
79.0,-378.0,1251.0
-150.0,-332.0,1013.0
43.0,-591.0,1416.0
22.0,-325.0,1134.0
346.0,-514.0,1501.0
317.0,-694.0,1707.0
399.0,-747.0,1797.0
265.0,-744.0,1576.0
301.0,-646.0,1385.0
316.0,-569.0,1189.0
321.0,-385.0,1085.0
226.0,-247.0,1029.0
91.0,-218.0,1137.0
302.0,-227.0,1113.0
28.0,-83.0,715.0
-21.0,140.0,472.0
-70.0,189.0,333.0
-30.0,-22.0,518.0

-,-,-
349.0,10.0,496.0
262.0,55.0,586.0
380.0,4.0,603.0
215.0,-3.0,565.0
224.0,-79.0,667.0
238.0,-31.0,792.0
216.0,-229.0,974.0
122.0,-155.0,992.0
42.0,-320.0,1158.0
-20.0,-363.0,1144.0
-202.0,-334.0,1011.0
-148.0,-276.0,993.0
56.0,-485.0,1403.0
21.0,-472.0,1506.0
-22.0,-499.0,1556.0
2.0,-590.0,1610.0
15.0,-646.0,1531.0
61.0,-567.0,1410.0
130.0,-374.0,1180.0
197.0,-248.0,1104.0
154.0,-109.0,969.0
86.0,-75.0,961.0
263.0,-35.0,841.0
-20.0,-24.0,648.0
-41.0,-8.0,460.0

-,-,-
-185.0,260.0,528.0
-325.0,243.0,377.0
-291.0,153.0,418.0
-251.0,145.0,380.0
-265.0,74.0,486.0
-175.0,138.0,405.0
-161.0,139.0,441.0
-85.0,-156.0,732.0
-69.0,-141.0,660.0
21.0,-359.0,988.0
108.0,-667.0,1384.0
237.0,-527.0,1340.0
267.0,-725.0,1611.0
517.0,-938.0,1999.0
407.0,-843.0,1768.0
282.0,-620.0,1382.0
-61.0,-502.0,1232.0
8.0,-385.0,1096.0
134.0,-394.0,1246.0
108.0,-288.0,1101.0
152.0,-191.0,1000.0
50.0,-232.0,1064.0
108.0,-103.0,871.0
117.0,-78.0,729.0
26.0,-201.0,821.0
117.0,-55.0,684.0
160.0,-79.0,591.0
118.0,-155.0,657.0

-,-,-
-401.0,374.0,556.0
-452.0,290.0,568.0
-544.0,158.0,544.0
-537.0,208.0,536.0
-415.0,276.0,585.0
-252.0,271.0,613.0
-284.0,296.0,567.0
-158.0,180.0,723.0
-251.0,150.0,797.0
-48.0,44.0,821.0
-75.0,4.0,965.0
8.0,-74.0,842.0
100.0,-256.0,1104.0
57.0,-137.0,896.0
235.0,-356.0,1057.0
208.0,-467.0,1577.0
162.0,-402.0,1448.0
275.0,-618.0,1901.0
156.0,-833.0,1881.0
62.0,-570.0,1467.0
73.0,-297.0,1159.0
218.0,-164.0,1069.0
246.0,-60.0,959.0
261.0,-85.0,949.0
228.0,-62.0,912.0
233.0,-39.0,858.0
140.0,-75.0,802.0
335.0,-68.0,939.0
283.0,-197.0,769.0
290.0,-185.0,470.0

-,-,-
-316.0,335.0,509.0
-188.0,317.0,467.0
-200.0,272.0,435.0
-283.0,356.0,273.0
-220.0,319.0,393.0
-249.0,206.0,482.0
-187.0,152.0,754.0
-161.0,-98.0,797.0
-321.0,-247.0,1139.0
21.0,-418.0,1232.0
129.0,-471.0,1325.0
134.0,-427.0,990.0
444.0,-700.0,1494.0
231.0,-592.0,1169.0
527.0,-729.0,1744.0
375.0,-795.0,1768.0
18.0,-707.0,1526.0
-107.0,-529.0,1201.0
-71.0,-327.0,1081.0
22.0,-237.0,1003.0
88.0,-179.0,996.0
165.0,-204.0,968.0
120.0,3.0,970.0
339.0,-283.0,1224.0
131.0,-140.0,913.0
244.0,-2.0,582.0
86.0,-112.0,782.0
363.0,-1.0,719.0
368.0,-110.0,448.0

-,-,-
-106.0,257.0,708.0
-139.0,92.0,721.0
-311.0,141.0,516.0
-430.0,-72.0,446.0
-359.0,-164.0,568.0
-237.0,-45.0,534.0
-112.0,-145.0,580.0
-204.0,-297.0,832.0
-83.0,-346.0,773.0
30.0,-604.0,1067.0
34.0,-691.0,1143.0
-26.0,-853.0,1150.0
267.0,-794.0,1427.0
67.0,-674.0,1165.0
107.0,-918.0,1575.0
145.0,-880.0,1581.0
-164.0,-774.0,1465.0
-184.0,-522.0,1068.0
-276.0,-514.0,1131.0
-78.0,-440.0,1190.0
47.0,-211.0,936.0
17.0,-228.0,898.0
139.0,-162.0,808.0
