=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 23:21:22 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
186.0,420.0,675.0
276.0,318.0,777.0
289.0,351.0,830.0
262.0,250.0,744.0
77.0,326.0,654.0
166.0,187.0,713.0
145.0,278.0,748.0
118.0,215.0,695.0
16.0,325.0,558.0
199.0,207.0,938.0
96.0,101.0,867.0
21.0,218.0,898.0
181.0,-88.0,1184.0
143.0,-147.0,1305.0
237.0,-202.0,1323.0
130.0,-317.0,1302.0
6.0,-375.0,1232.0
105.0,-441.0,1432.0
188.0,-337.0,1387.0
310.0,-296.0,1346.0
258.0,-266.0,1102.0
285.0,-250.0,935.0
291.0,-201.0,860.0
146.0,-229.0,818.0
87.0,-236.0,830.0
0.0,-236.0,875.0
-74.0,-176.0,846.0
-112.0,-119.0,835.0
-93.0,-219.0,982.0

-,-,-
137.0,403.0,794.0
236.0,415.0,819.0
227.0,400.0,752.0
133.0,364.0,595.0
58.0,267.0,673.0
139.0,321.0,673.0
134.0,216.0,651.0
32.0,306.0,632.0
138.0,142.0,826.0
122.0,191.0,832.0
323.0,194.0,1003.0
303.0,-8.0,1072.0
206.0,165.0,790.0
263.0,-108.0,1128.0
-18.0,-78.0,1109.0
71.0,-376.0,1423.0
-109.0,-215.0,1168.0
-60.0,-312.0,1254.0
3.0,-330.0,1294.0
-62.0,-241.0,1144.0
65.0,-323.0,1207.0
195.0,-310.0,1209.0
161.0,-338.0,1102.0
42.0,-339.0,993.0
13.0,-310.0,913.0
94.0,-280.0,909.0
181.0,-320.0,1016.0
121.0,-249.0,917.0
150.0,-266.0,1014.0
74.0,-223.0,949.0
89.0,-262.0,972.0
49.0,-254.0,915.0
-43.0,-206.0,842.0
-192.0,-126.0,678.0
-172.0,-186.0,842.0
-207.0,-322.0,971.0

-,-,-
106.0,397.0,680.0
156.0,477.0,568.0
198.0,369.0,440.0
108.0,475.0,550.0
261.0,251.0,529.0
204.0,357.0,641.0
74.0,410.0,463.0
192.0,189.0,877.0
128.0,405.0,727.0
396.0,168.0,1009.0
61.0,224.0,901.0
435.0,-160.0,1416.0
-81.0,28.0,1213.0
244.0,-242.0,1543.0
113.0,-227.0,1345.0
226.0,-283.0,1491.0
282.0,-250.0,1340.0
350.0,-184.0,1261.0
267.0,-150.0,1171.0
271.0,-157.0,1091.0
178.0,-152.0,956.0
167.0,-132.0,886.0
210.0,-60.0,801.0
189.0,-111.0,875.0
-5.0,-116.0,802.0
-362.0,-189.0,827.0
-572.0,-302.0,953.0

-,-,-
162.0,502.0,828.0
173.0,488.0,640.0
92.0,481.0,595.0
64.0,241.0,609.0
46.0,432.0,459.0
144.0,308.0,497.0
151.0,345.0,422.0
192.0,449.0,483.0
215.0,279.0,703.0
9.0,426.0,598.0
301.0,148.0,1021.0
-36.0,442.0,747.0
327.0,-27.0,1376.0
-155.0,266.0,934.0
394.0,-29.0,1694.0
101.0,45.0,1365.0
58.0,31.0,1362.0
267.0,-124.0,1483.0
350.0,-73.0,1443.0
316.0,-117.0,1336.0
319.0,-57.0,1089.0
290.0,-91.0,1049.0
356.0,-47.0,965.0
359.0,-23.0,936.0
183.0,-20.0,811.0
133.0,-52.0,924.0
-10.0,-4.0,804.0
-203.0,-72.0,900.0
-255.0,-109.0,1025.0
-347.0,-71.0,904.0
-371.0,-64.0,968.0
-211.0,-86.0,1043.0

-,-,-
182.0,495.0,825.0
75.0,486.0,804.0
127.0,443.0,739.0
54.0,444.0,704.0
176.0,344.0,667.0
98.0,468.0,520.0
227.0,274.0,572.0
14.0,413.0,536.0
327.0,300.0,685.0
30.0,360.0,697.0
255.0,314.0,776.0
165.0,171.0,927.0
28.0,417.0,704.0
342.0,40.0,1118.0
-135.0,302.0,708.0
349.0,-126.0,1326.0
-66.0,19.0,1088.0
158.0,-176.0,1491.0
68.0,-181.0,1400.0
2.0,-188.0,1358.0
213.0,-165.0,1315.0
219.0,-128.0,1287.0
295.0,-167.0,1299.0
350.0,-146.0,1126.0
309.0,-136.0,1059.0
204.0,-157.0,1026.0
169.0,-111.0,958.0
202.0,-48.0,885.0
231.0,62.0,812.0
270.0,2.0,881.0
43.0,36.0,793.0
-73.0,-104.0,947.0
-251.0,-106.0,947.0
-246.0,-98.0,985.0

-,-,-
199.0,489.0,893.0
212.0,516.0,825.0
160.0,477.0,773.0
122.0,336.0,740.0
174.0,441.0,618.0
224.0,339.0,582.0
-58.0,396.0,574.0
232.0,270.0,598.0
89.0,372.0,662.0
181.0,435.0,502.0
333.0,215.0,868.0
186.0,571.0,438.0
297.0,320.0,810.0
87.0,356.0,660.0
247.0,220.0,981.0
-37.0,85.0,982.0
-51.0,-3.0,1193.0
43.0,-190.0,1424.0
-52.0,-201.0,1380.0
222.0,-282.0,1522.0
105.0,-168.0,1336.0
353.0,-212.0,1446.0
377.0,-193.0,1301.0
349.0,-128.0,1174.0
435.0,-162.0,1122.0
305.0,-138.0,1028.0
199.0,-150.0,984.0
347.0,-88.0,988.0
177.0,-36.0,885.0
87.0,-37.0,871.0
132.0,-57.0,852.0
-238.0,-80.0,804.0
-308.0,-58.0,857.0
-463.0,-110.0,862.0
-508.0,-45.0,854.0
-358.0,-176.0,1086.0

-,-,-
167.0,544.0,800.0
102.0,479.0,663.0
269.0,557.0,659.0
154.0,505.0,614.0
144.0,350.0,556.0
171.0,428.0,576.0
275.0,314.0,526.0
96.0,406.0,475.0
338.0,264.0,629.0
183.0,420.0,539.0
305.0,236.0,773.0
149.0,318.0,737.0
281.0,161.0,938.0
134.0,212.0,913.0
381.0,54.0,1166.0
8.0,34.0,1252.0
305.0,-58.0,1385.0
83.0,5.0,1287.0
208.0,-84.0,1427.0
193.0,-72.0,1251.0
124.0,-49.0,1264.0
219.0,-180.0,1354.0
291.0,-75.0,1075.0
200.0,-130.0,1097.0
191.0,-107.0,971.0
288.0,-94.0,934.0
312.0,-35.0,868.0
460.0,-36.0,906.0
326.0,-102.0,928.0
251.0,-101.0,923.0
328.0,-81.0,981.0
132.0,-178.0,1015.0
2.0,-170.0,1057.0
-250.0,-195.0,1055.0
-252.0,-174.0,993.0
-383.0,-111.0,956.0
-378.0,-26.0,902.0
-124.0,-108.0,1077.0

-,-,-
214.0,498.0,673.0
187.0,547.0,755.0
169.0,519.0,782.0
188.0,400.0,771.0
114.0,500.0,700.0
165.0,388.0,657.0
127.0,428.0,665.0
272.0,414.0,635.0
170.0,369.0,571.0
228.0,495.0,520.0
304.0,342.0,619.0
130.0,402.0,709.0
318.0,230.0,888.0
78.0,399.0,814.0
291.0,183.0,1128.0
248.0,97.0,1035.0
3.0,254.0,920.0
289.0,-17.0,1184.0
110.0,49.0,1208.0
180.0,-46.0,1236.0
176.0,45.0,1214.0
96.0,-40.0,1255.0
280.0,-67.0,1282.0
282.0,-55.0,1193.0
373.0,-41.0,1133.0
336.0,-66.0,1072.0
409.0,-79.0,1034.0
262.0,-114.0,999.0
167.0,-134.0,984.0
90.0,-73.0,846.0
51.0,-105.0,901.0
94.0,-151.0,937.0
-100.0,-128.0,935.0
-67.0,-152.0,1013.0
-125.0,-140.0,972.0
-118.0,-156.0,1056.0
-193.0,-150.0,998.0

-,-,-
251.0,576.0,727.0
183.0,465.0,689.0
140.0,418.0,827.0
265.0,358.0,692.0
94.0,525.0,498.0
220.0,395.0,585.0
141.0,512.0,569.0
302.0,384.0,653.0
88.0,431.0,639.0
193.0,463.0,611.0
250.0,302.0,921.0
100.0,423.0,644.0
228.0,150.0,1051.0
-21.0,320.0,790.0
332.0,-19.0,1280.0
-5.0,202.0,886.0
200.0,37.0,1277.0
-10.0,29.0,1146.0
-96.0,8.0,1148.0
58.0,-210.0,1382.0
42.0,-100.0,1214.0
195.0,-143.0,1294.0
313.0,-145.0,1264.0
297.0,-143.0,1217.0
283.0,-110.0,1128.0
248.0,-163.0,1142.0
248.0,-111.0,1041.0
122.0,-85.0,952.0
154.0,-113.0,970.0
69.0,-49.0,921.0
56.0,-6.0,870.0
-80.0,-87.0,928.0
-262.0,-17.0,687.0
-214.0,-166.0,1003.0
-359.0,-127.0,920.0
-315.0,-147.0,973.0

-,-,-
200.0,460.0,1138.0
215.0,449.0,825.0
112.0,421.0,872.0
130.0,396.0,750.0
153.0,331.0,694.0
120.0,458.0,529.0
165.0,277.0,626.0
128.0,700.0,363.0
351.0,351.0,630.0
97.0,443.0,478.0
271.0,378.0,656.0
190.0,231.0,747.0
106.0,356.0,759.0
337.0,137.0,986.0
-16.0,264.0,811.0
184.0,0.0,1128.0
-51.0,84.0,1000.0
145.0,-120.0,1333.0
-78.0,0.0,1250.0
103.0,-103.0,1387.0
145.0,-207.0,1322.0
202.0,-179.0,1386.0
262.0,-171.0,1312.0
253.0,-173.0,1194.0
211.0,-158.0,1153.0
261.0,-139.0,1027.0
220.0,-139.0,1015.0
178.0,-101.0,945.0
133.0,-89.0,891.0
21.0,-150.0,936.0
-104.0,-41.0,868.0
-44.0,-153.0,998.0
-127.0,-116.0,916.0
-149.0,-163.0,1013.0
-197.0,-178.0,992.0
-187.0,-159.0,998.0
-234.0,-129.0,913.0
-92.0,-159.0,952.0
-174.0,-166.0,931.0

-,-,-
224.0,501.0,703.0
133.0,484.0,753.0
209.0,538.0,668.0
182.0,442.0,614.0
121.0,416.0,585.0
94.0,373.0,553.0
189.0,355.0,579.0
76.0,443.0,470.0
198.0,354.0,591.0
102.0,485.0,567.0
319.0,314.0,734.0
191.0,346.0,750.0
241.0,239.0,821.0
197.0,104.0,1033.0
22.0,212.0,875.0
204.0,-200.0,1195.0
-20.0,-59.0,1135.0
160.0,-223.0,1307.0
90.0,-146.0,1263.0
108.0,-287.0,1439.0
169.0,-314.0,1505.0
203.0,-355.0,1437.0
204.0,-303.0,1284.0
186.0,-239.0,1092.0
151.0,-208.0,1052.0
178.0,-152.0,974.0
196.0,-142.0,928.0
205.0,-125.0,955.0
209.0,-67.0,899.0
291.0,-78.0,909.0
150.0,-85.0,932.0
101.0,-107.0,944.0

-,-,-
166.0,404.0,907.0
117.0,438.0,801.0
32.0,362.0,760.0
-21.0,217.0,729.0
112.0,398.0,687.0
106.0,294.0,518.0
-28.0,305.0,596.0
141.0,294.0,547.0
85.0,141.0,492.0
104.0,319.0,552.0
207.0,48.0,824.0
23.0,276.0,724.0
156.0,-70.0,1212.0
-17.0,177.0,1183.0
90.0,-108.0,1402.0
171.0,27.0,1265.0
58.0,-65.0,1223.0
112.0,-181.0,1235.0
192.0,-157.0,1309.0
29.0,-188.0,1248.0
305.0,-215.0,1358.0
281.0,-168.0,1137.0
281.0,-239.0,1182.0
201.0,-199.0,1052.0
153.0,-231.0,1043.0
141.0,-158.0,888.0
261.0,-201.0,944.0
27.0,-286.0,998.0
84.0,-233.0,1009.0
-94.0,-175.0,877.0
-168.0,-202.0,813.0
-552.0,-180.0,828.0
-475.0,-177.0,834.0
-499.0,-208.0,930.0
-371.0,-269.0,1037.0

-,-,-
145.0,410.0,832.0
163.0,440.0,771.0
205.0,372.0,657.0
62.0,379.0,653.0
194.0,349.0,536.0
75.0,269.0,542.0
67.0,305.0,476.0
171.0,248.0,616.0
214.0,273.0,632.0
242.0,204.0,610.0
263.0,330.0,773.0
269.0,90.0,984.0
95.0,272.0,912.0
193.0,127.0,1041.0
230.0,1.0,1139.0
-26.0,43.0,1166.0
195.0,-65.0,1147.0
-9.0,-101.0,1475.0
109.0,-202.0,1557.0
215.0,-144.0,1398.0
146.0,-89.0,1314.0
173.0,-177.0,1174.0
369.0,-111.0,1001.0
386.0,-71.0,891.0
414.0,-189.0,992.0
426.0,-161.0,1002.0
323.0,-173.0,996.0
181.0,-115.0,908.0
8.0,-152.0,923.0
-129.0,-170.0,1020.0
-172.0,-161.0,985.0
-247.0,-159.0,921.0
-408.0,-162.0,909.0
-244.0,-167.0,939.0
-22.0,-226.0,1112.0

-,-,-
248.0,409.0,926.0
142.0,394.0,854.0
151.0,424.0,874.0
194.0,352.0,808.0
47.0,355.0,711.0
170.0,304.0,730.0
221.0,443.0,641.0
220.0,338.0,630.0
91.0,346.0,653.0
185.0,424.0,508.0
203.0,353.0,700.0
265.0,369.0,688.0
187.0,366.0,655.0
297.0,381.0,802.0
316.0,137.0,1051.0
-14.0,309.0,737.0
479.0,1.0,1217.0
-9.0,109.0,895.0
212.0,-1.0,1171.0
101.0,-56.0,1093.0
-69.0,11.0,987.0
