=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 23:07:56 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ
-,-,-
110.0,-186.0,1015.0
72.0,-65.0,687.0
187.0,-127.0,794.0
122.0,-175.0,764.0
70.0,-330.0,700.0
-25.0,-190.0,535.0
175.0,-156.0,486.0
267.0,-438.0,701.0
15.0,-263.0,638.0
71.0,-473.0,806.0
-116.0,-548.0,1013.0
-227.0,-621.0,1043.0
-320.0,-647.0,1180.0
-391.0,-604.0,1145.0
-480.0,-731.0,1374.0
-453.0,-743.0,1288.0
-427.0,-556.0,1191.0
-324.0,-568.0,1072.0
-384.0,-492.0,868.0
-463.0,-376.0,699.0
-569.0,-350.0,625.0
-568.0,-383.0,715.0
-407.0,-465.0,809.0
-393.0,-527.0,877.0
-263.0,-463.0,793.0
-153.0,-479.0,734.0
-41.0,-600.0,725.0
102.0,-635.0,610.0
201.0,-780.0,665.0
245.0,-840.0,656.0
603.0,-1121.0,981.0
682.0,-1018.0,1064.0
642.0,-925.0,1128.0
406.0,-832.0,1103.0
230.0,-731.0,1149.0
285.0,-733.0,1161.0
196.0,-590.0,993.0
110.0,-487.0,913.0
141.0,-333.0,792.0
103.0,-190.0,680.0
60.0,-362.0,720.0
87.0,-211.0,569.0
-178.0,-104.0,595.0
-91.0,-168.0,702.0
-176.0,-279.0,799.0
-230.0,-35.0,640.0
-193.0,-23.0,742.0

-,-,-
-49.0,-39.0,907.0
-47.0,-107.0,1010.0
-104.0,-115.0,889.0
-206.0,-68.0,700.0
-359.0,-20.0,529.0
-272.0,2.0,417.0
-193.0,-37.0,436.0
-171.0,-180.0,471.0
-116.0,-235.0,504.0
-71.0,-449.0,723.0
-198.0,-521.0,752.0
-124.0,-737.0,1035.0
-84.0,-739.0,1104.0
110.0,-1085.0,1317.0
188.0,-960.0,1222.0
234.0,-1030.0,1223.0
206.0,-902.0,969.0
229.0,-804.0,853.0
161.0,-863.0,862.0
208.0,-912.0,874.0
202.0,-844.0,832.0
116.0,-869.0,875.0
62.0,-771.0,785.0
-49.0,-698.0,742.0
-335.0,-431.0,610.0
-691.0,-330.0,541.0
-770.0,-429.0,683.0
-812.0,-272.0,638.0
-602.0,-367.0,817.0
-413.0,-434.0,965.0
-324.0,-448.0,1010.0
-292.0,-514.0,1078.0
-294.0,-503.0,1118.0
-320.0,-497.0,1087.0
-328.0,-536.0,1097.0
-246.0,-525.0,1161.0
-167.0,-470.0,1037.0
-15.0,-432.0,1040.0
-62.0,-302.0,862.0
-103.0,-280.0,771.0
-167.0,-342.0,741.0
53.0,-380.0,800.0
-107.0,-313.0,725.0
67.0,-276.0,598.0
177.0,-141.0,673.0
89.0,-97.0,611.0
105.0,-129.0,773.0

-,-,-
-183.0,-58.0,881.0
-202.0,-62.0,757.0
-295.0,-126.0,695.0
-458.0,-19.0,443.0
-261.0,-68.0,633.0
-256.0,-109.0,457.0
-125.0,-56.0,450.0
-114.0,-358.0,689.0
-145.0,-405.0,603.0
-196.0,-537.0,811.0
-150.0,-621.0,756.0
-296.0,-860.0,1086.0
-81.0,-1088.0,1201.0
45.0,-1341.0,1418.0
284.0,-1279.0,1278.0
354.0,-1229.0,1139.0
432.0,-1041.0,857.0
351.0,-949.0,650.0
138.0,-847.0,457.0
214.0,-874.0,592.0
122.0,-849.0,581.0
-106.0,-834.0,561.0
-531.0,-677.0,614.0
-614.0,-539.0,662.0
-881.0,-507.0,712.0
-1130.0,-399.0,701.0
-922.0,-356.0,838.0
-783.0,-402.0,905.0
-520.0,-512.0,1037.0
-411.0,-517.0,1055.0
-321.0,-528.0,1057.0
-187.0,-572.0,1137.0
-261.0,-352.0,889.0
-198.0,-528.0,1048.0
-270.0,-357.0,948.0
-111.0,-481.0,918.0
-194.0,-361.0,711.0
73.0,-545.0,941.0
-87.0,-310.0,555.0
-16.0,-291.0,477.0

-,-,-
-247.0,-88.0,847.0
-250.0,-71.0,804.0
-225.0,-119.0,753.0
-324.0,-65.0,559.0
-322.0,59.0,441.0
-307.0,-158.0,393.0
-210.0,-40.0,471.0
-198.0,-310.0,472.0
-266.0,-462.0,593.0
-325.0,-469.0,611.0
-280.0,-790.0,864.0
-321.0,-790.0,945.0
-354.0,-1088.0,1141.0
-57.0,-1071.0,1242.0
-39.0,-1060.0,1135.0
16.0,-1029.0,1061.0
-5.0,-1080.0,1021.0
132.0,-1070.0,905.0
147.0,-1085.0,854.0
206.0,-1095.0,822.0
208.0,-1017.0,715.0
166.0,-949.0,683.0
71.0,-834.0,616.0
-92.0,-665.0,526.0
-180.0,-527.0,496.0
-533.0,-521.0,509.0
-895.0,-252.0,398.0
-1309.0,-367.0,547.0
-994.0,-258.0,655.0
-614.0,-372.0,889.0
-411.0,-464.0,1000.0
-414.0,-513.0,1070.0
-417.0,-595.0,1130.0
-436.0,-624.0,1118.0
-492.0,-561.0,1087.0
-425.0,-470.0,977.0
-349.0,-521.0,963.0
-338.0,-403.0,790.0
-103.0,-360.0,740.0
-114.0,-345.0,688.0
-30.0,-318.0,629.0
99.0,-210.0,580.0
43.0,-176.0,691.0

-,-,-
-373.0,16.0,669.0
-401.0,14.0,601.0
-324.0,8.0,468.0
-386.0,-35.0,516.0
-375.0,-183.0,360.0
-225.0,-218.0,532.0
-248.0,-424.0,723.0
-316.0,-308.0,633.0
-449.0,-568.0,851.0
-442.0,-685.0,834.0
-370.0,-588.0,838.0
-236.0,-959.0,1078.0
-53.0,-1045.0,1187.0
-223.0,-1031.0,1081.0
-231.0,-919.0,875.0
-175.0,-1078.0,985.0
-105.0,-958.0,813.0
-97.0,-1038.0,812.0
-115.0,-1046.0,748.0
-72.0,-1162.0,867.0
-78.0,-1013.0,738.0
-133.0,-836.0,608.0
-188.0,-782.0,630.0
-275.0,-556.0,519.0
-419.0,-490.0,528.0
-672.0,-273.0,326.0
-729.0,-279.0,465.0
-731.0,-229.0,413.0
-909.0,-319.0,537.0
-836.0,-383.0,712.0
-708.0,-451.0,840.0
-551.0,-552.0,990.0
-610.0,-577.0,1032.0
-519.0,-590.0,1062.0
-526.0,-651.0,1072.0
-531.0,-533.0,1016.0
-475.0,-563.0,976.0
-369.0,-473.0,929.0
-371.0,-368.0,754.0
-233.0,-361.0,762.0
-291.0,-361.0,720.0
-214.0,-98.0,553.0
-255.0,-503.0,773.0
113.0,-230.0,612.0
-178.0,-215.0,704.0

-,-,-
-329.0,-6.0,810.0
-393.0,-18.0,704.0
-444.0,-32.0,645.0
-320.0,29.0,465.0
-354.0,177.0,356.0
-334.0,-220.0,521.0
-434.0,-169.0,561.0
-370.0,-421.0,744.0
-396.0,-301.0,425.0
-458.0,-588.0,689.0
-428.0,-556.0,684.0
-608.0,-818.0,883.0
-588.0,-981.0,1026.0
-482.0,-1229.0,1265.0
-286.0,-1245.0,1198.0
-256.0,-1258.0,1124.0
-192.0,-1156.0,916.0
-211.0,-1020.0,721.0
-157.0,-1021.0,676.0
-200.0,-984.0,648.0
-200.0,-900.0,566.0
-177.0,-656.0,393.0
-279.0,-749.0,613.0
-431.0,-485.0,396.0
-563.0,-410.0,454.0
-857.0,-228.0,410.0
-940.0,-284.0,480.0
-993.0,-316.0,573.0
-771.0,-376.0,749.0
-650.0,-455.0,845.0
-539.0,-509.0,933.0
-577.0,-505.0,891.0
-525.0,-559.0,1024.0
-604.0,-589.0,1025.0
-560.0,-563.0,993.0
-510.0,-537.0,977.0
-431.0,-567.0,993.0
-437.0,-418.0,812.0
-464.0,-360.0,708.0
-340.0,-546.0,867.0
-304.0,-332.0,564.0
-378.0,-357.0,641.0
-76.0,-220.0,684.0
-139.0,-139.0,695.0
-10.0,-95.0,857.0
-120.0,-75.0,788.0
-60.0,76.0,612.0
-190.0,60.0,695.0
-163.0,-26.0,931.0

-,-,-
-359.0,-1.0,798.0
-296.0,-19.0,773.0
-426.0,-21.0,709.0
-348.0,-19.0,540.0
-340.0,147.0,483.0
-495.0,-226.0,655.0
-372.0,-52.0,531.0
-390.0,-171.0,641.0
-322.0,-459.0,682.0
-383.0,-19.0,470.0
-693.0,-724.0,980.0
-485.0,-344.0,689.0
-643.0,-584.0,874.0
-362.0,-761.0,974.0
-212.0,-822.0,1012.0
-383.0,-950.0,1025.0
-366.0,-852.0,880.0
-280.0,-1201.0,1218.0
-193.0,-1150.0,1069.0
-170.0,-1005.0,825.0
-369.0,-985.0,734.0
-221.0,-935.0,741.0
-304.0,-833.0,638.0
-250.0,-768.0,609.0
-291.0,-635.0,531.0
-405.0,-545.0,492.0
-425.0,-562.0,612.0
-618.0,-314.0,405.0
-837.0,-338.0,495.0
-1098.0,-365.0,516.0
-1057.0,-253.0,527.0
-782.0,-396.0,805.0
-590.0,-448.0,933.0
-545.0,-523.0,1032.0
-569.0,-538.0,1040.0
-569.0,-581.0,1083.0
-542.0,-580.0,1083.0
-506.0,-483.0,964.0
-418.0,-499.0,1009.0
-257.0,-435.0,912.0
-375.0,-561.0,916.0
-144.0,-385.0,748.0
-191.0,-480.0,689.0
-73.0,-281.0,614.0
8.0,-164.0,596.0
-157.0,-280.0,748.0

-,-,-
-282.0,-42.0,913.0
-293.0,-7.0,923.0
-276.0,-51.0,942.0
-254.0,31.0,748.0
-322.0,11.0,752.0
-354.0,8.0,601.0
-218.0,85.0,606.0
-213.0,29.0,477.0
-235.0,-52.0,622.0
-212.0,-47.0,488.0
-296.0,-347.0,727.0
-164.0,-250.0,606.0
-288.0,-320.0,784.0
-311.0,-546.0,875.0
-282.0,-528.0,840.0
-374.0,-835.0,1086.0
-306.0,-970.0,1184.0
-273.0,-1079.0,1253.0
-159.0,-1248.0,1381.0
-81.0,-1125.0,1207.0
-8.0,-1108.0,1097.0
-62.0,-943.0,788.0
-63.0,-883.0,728.0
-27.0,-708.0,516.0
26.0,-718.0,595.0
37.0,-645.0,596.0
-70.0,-600.0,585.0
-188.0,-601.0,632.0
-287.0,-587.0,691.0
-435.0,-547.0,672.0
-780.0,-423.0,619.0
-912.0,-381.0,647.0
-812.0,-356.0,759.0
-723.0,-359.0,870.0
-541.0,-417.0,961.0
-533.0,-470.0,1056.0
-508.0,-504.0,1064.0
-557.0,-508.0,1089.0
-519.0,-497.0,1045.0
-479.0,-476.0,1019.0
-413.0,-463.0,993.0
-343.0,-450.0,932.0
-286.0,-470.0,852.0
-309.0,-380.0,792.0
-17.0,-462.0,856.0
-130.0,-271.0,609.0
-90.0,-187.0,715.0
75.0,-139.0,606.0

-,-,-
-214.0,557.0,599.0
-129.0,436.0,707.0
-313.0,292.0,852.0
-394.0,296.0,638.0
-530.0,370.0,5.0
-500.0,616.0,-213.0
-424.0,70.0,17.0
-366.0,-206.0,211.0
-409.0,-308.0,425.0
-597.0,-892.0,1059.0
-637.0,-1051.0,1354.0
-769.0,-1329.0,1728.0
-678.0,-1346.0,1705.0
-405.0,-964.0,1087.0
-350.0,-748.0,806.0
-214.0,-508.0,576.0
-202.0,-445.0,576.0
-344.0,-530.0,628.0
-324.0,-458.0,625.0
-245.0,-691.0,776.0
-113.0,-857.0,851.0
-75.0,-1103.0,1032.0
26.0,-1128.0,977.0
-10.0,-1132.0,909.0
-166.0,-895.0,668.0
-393.0,-772.0,565.0
-886.0,-427.0,372.0
-1100.0,-334.0,448.0
-1356.0,-59.0,380.0
-1227.0,-23.0,647.0
-878.0,-3.0,800.0
-762.0,-81.0,937.0
-721.0,-88.0,982.0
-712.0,-247.0,1159.0
-690.0,-210.0,1093.0
-578.0,-168.0,1073.0
-430.0,-300.0,1095.0
-359.0,-265.0,1020.0

-,-,-
-224.0,270.0,755.0
-175.0,249.0,737.0
-178.0,207.0,790.0
-185.0,123.0,724.0
-302.0,261.0,441.0
-363.0,294.0,312.0
-280.0,-39.0,468.0
-325.0,142.0,255.0
-212.0,-177.0,464.0
-358.0,-312.0,598.0
-443.0,-533.0,713.0
-678.0,-682.0,1008.0
-610.0,-886.0,1174.0
-603.0,-1234.0,1555.0
-345.0,-913.0,1241.0
-360.0,-1169.0,1358.0
-198.0,-1156.0,1257.0
-19.0,-969.0,969.0
-76.0,-955.0,864.0
-18.0,-893.0,824.0
8.0,-865.0,808.0
79.0,-726.0,668.0
-107.0,-675.0,634.0
-449.0,-538.0,547.0
-479.0,-558.0,654.0
-1093.0,-179.0,388.0
-1351.0,-189.0,638.0
-1115.0,32.0,684.0
-984.0,-139.0,952.0
-745.0,-158.0,982.0
-620.0,-247.0,1062.0
-509.0,-276.0,1049.0
-413.0,-300.0,1052.0
-341.0,-260.0,1027.0
-205.0,-320.0,1032.0
-157.0,-399.0,1094.0
-153.0,-336.0,1010.0
-53.0,-348.0,1016.0
-89.0,-291.0,971.0
-175.0,-234.0,868.0
-33.0,-317.0,936.0
-147.0,-157.0,755.0
-143.0,-190.0,758.0
-6.0,-38.0,575.0
113.0,-63.0,669.0
70.0,36.0,600.0
197.0,-39.0,768.0
216.0,-132.0,947.0

-,-,-
-347.0,143.0,727.0
-361.0,4.0,713.0
-427.0,30.0,534.0
-385.0,88.0,517.0
-315.0,-139.0,598.0
-267.0,33.0,387.0
-228.0,-81.0,720.0
-194.0,-182.0,605.0
-259.0,-374.0,841.0
-222.0,-361.0,761.0
-520.0,-736.0,1085.0
-362.0,-627.0,878.0
-397.0,-837.0,1107.0
-327.0,-800.0,1011.0
-341.0,-800.0,1022.0
-358.0,-1125.0,1329.0
-205.0,-949.0,1118.0
-219.0,-878.0,905.0
-215.0,-854.0,817.0
-256.0,-857.0,777.0
-299.0,-822.0,748.0
-185.0,-775.0,753.0
-330.0,-696.0,667.0
-324.0,-580.0,659.0
-506.0,-473.0,620.0
-489.0,-335.0,572.0
-829.0,-316.0,467.0
-936.0,-30.0,338.0
-882.0,-205.0,650.0
-886.0,-226.0,767.0
-768.0,-306.0,871.0
-705.0,-330.0,950.0
-634.0,-387.0,974.0
-647.0,-393.0,996.0
-572.0,-499.0,1042.0
-561.0,-457.0,951.0
-480.0,-378.0,897.0
-354.0,-431.0,944.0
-368.0,-471.0,944.0
-363.0,-430.0,829.0
-218.0,-423.0,887.0
-183.0,-336.0,734.0
-160.0,-255.0,660.0
-20.0,-183.0,684.0
-16.0,-93.0,655.0
-38.0,36.0,561.0

-,-,-
-324.0,139.0,781.0
-333.0,203.0,727.0
-342.0,173.0,742.0
-387.0,114.0,558.0
-417.0,166.0,502.0
-377.0,29.0,369.0
-338.0,63.0,476.0
-327.0,-219.0,539.0
-251.0,-64.0,576.0
-313.0,-342.0,720.0
-210.0,-466.0,740.0
-412.0,-567.0,871.0
-293.0,-822.0,1052.0
-310.0,-932.0,1166.0
-341.0,-1049.0,1280.0
-309.0,-955.0,1097.0
-414.0,-808.0,833.0
